Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-12-15,M'gladbach,Ein Frankfurt,2,3,A,1,1,D,,19,12,8,5,8,19,7,1,2,5,0,1
2021-12-15,Augsburg,RB Leipzig,1,1,D,0,1,A,,9,13,2,4,14,7,6,8,2,0,0,0
2021-12-15,Dortmund,Greuther Furth,3,0,H,1,0,H,,12,7,5,1,10,10,5,8,2,2,0,0
2021-12-15,Leverkusen,Hoffenheim,2,2,D,1,0,H,,17,14,9,6,12,4,6,3,5,3,1,0
2021-12-15,Union Berlin,Freiburg,0,0,D,0,0,D,,18,8,5,2,10,12,4,3,1,1,0,0
2021-12-17,Bayern Munich,Wolfsburg,4,0,H,1,0,H,,24,7,9,2,10,4,5,3,0,0,0,0
2021-12-18,Bochum,Union Berlin,0,1,A,0,1,A,,13,9,3,3,13,9,1,5,2,0,0,0
2021-12-18,Ein Frankfurt,Mainz,1,0,H,1,0,H,,13,11,4,5,11,9,8,6,0,1,0,0
2021-12-18,Greuther Furth,Augsburg,0,0,D,0,0,D,,4,14,1,5,8,13,6,5,2,3,0,0
2021-12-18,Hoffenheim,M'gladbach,1,1,D,0,1,A,,21,11,8,5,6,9,15,3,2,2,0,0
2021-12-18,RB Leipzig,Bielefeld,0,2,A,0,0,D,,15,4,4,4,6,16,10,1,0,2,0,1
2021-12-18,Hertha,Dortmund,3,2,H,0,1,A,,14,9,5,3,4,19,1,5,0,1,0,0
2021-12-19,Freiburg,Leverkusen,2,1,H,1,1,D,,14,6,6,4,6,8,4,8,2,3,0,0
2021-12-19,FC Koln,Stuttgart,1,0,H,0,0,D,,8,6,2,2,17,13,2,1,3,1,0,0
2022-01-07,Bayern Munich,M'gladbach,1,2,A,1,2,A,,19,9,8,3,18,11,6,6,0,1,0,0
2022-01-08,Freiburg,Bielefeld,2,2,D,1,0,H,,18,15,6,5,6,5,7,12,2,1,0,0
2022-01-08,Greuther Furth,Stuttgart,0,0,D,0,0,D,,10,18,3,3,8,12,1,5,0,1,0,0
2022-01-08,Hoffenheim,Augsburg,3,1,H,2,1,H,,12,9,5,4,17,8,2,4,1,0,0,0
2022-01-08,Leverkusen,Union Berlin,2,2,D,1,1,D,,17,17,8,7,8,11,11,5,1,2,0,0
2022-01-08,RB Leipzig,Mainz,4,1,H,1,0,H,,16,2,8,1,6,10,6,1,0,2,0,1
2022-01-08,Ein Frankfurt,Dortmund,2,3,A,2,0,H,,12,21,5,8,14,6,4,11,3,2,0,0
2022-01-09,Hertha,FC Koln,1,3,A,0,2,A,,10,14,5,8,9,16,10,4,3,1,0,0
2022-01-09,Bochum,Wolfsburg,1,0,H,0,0,D,,12,12,3,4,15,18,4,2,1,2,0,0
2022-01-14,Dortmund,Freiburg,5,1,H,3,0,H,,20,4,8,4,8,8,9,2,2,0,0,0
2022-01-15,FC Koln,Bayern Munich,0,4,A,0,2,A,,11,19,3,9,6,10,5,12,1,0,0,0
2022-01-15,Mainz,Bochum,1,0,H,0,0,D,,20,12,5,3,19,14,7,3,3,3,0,0
2022-01-15,Stuttgart,RB Leipzig,0,2,A,0,1,A,,16,7,10,3,12,13,5,1,3,1,0,0
2022-01-15,Union Berlin,Hoffenheim,2,1,H,1,1,D,,6,12,3,5,10,11,0,8,0,3,0,0
2022-01-15,Wolfsburg,Hertha,0,0,D,0,0,D,,7,6,3,2,12,12,3,2,1,1,0,0
2022-01-15,M'gladbach,Leverkusen,1,2,A,0,0,D,,16,29,6,13,8,18,5,7,2,3,0,0
2022-01-16,Augsburg,Ein Frankfurt,1,1,D,1,1,D,,12,14,5,4,12,14,4,3,3,3,0,0
2022-01-16,Bielefeld,Greuther Furth,2,2,D,1,1,D,,13,6,5,3,16,6,3,5,4,1,0,0
2022-01-21,Ein Frankfurt,Bielefeld,0,2,A,0,2,A,,17,8,7,5,7,10,10,1,4,2,0,0
2022-01-22,Freiburg,Stuttgart,2,0,H,1,0,H,,16,7,4,1,12,7,6,3,1,1,0,0
2022-01-22,Greuther Furth,Mainz,2,1,H,1,0,H,,11,16,7,4,12,15,7,8,1,1,0,0
2022-01-22,Hoffenheim,Dortmund,2,3,A,1,1,D,,14,3,2,2,14,7,7,3,2,2,0,0
2022-01-22,Leverkusen,Augsburg,5,1,H,2,0,H,,22,14,12,5,8,7,9,5,1,2,0,0
2022-01-22,M'gladbach,Union Berlin,1,2,A,1,1,D,,12,6,5,3,11,19,4,1,1,2,0,0
2022-01-22,Bochum,FC Koln,2,2,D,1,2,A,,17,7,7,3,11,12,1,5,0,3,0,0
2022-01-23,RB Leipzig,Wolfsburg,2,0,H,0,0,D,,12,9,4,3,17,16,4,3,5,1,0,0
2022-01-23,Hertha,Bayern Munich,1,4,A,0,2,A,,5,29,2,20,9,9,4,9,1,0,0,0
2022-02-04,Hertha,Bochum,1,1,D,1,0,H,,13,9,2,4,14,22,4,7,3,1,0,0
2022-02-05,Augsburg,Union Berlin,2,0,H,1,0,H,,14,14,9,4,8,16,4,6,0,2,0,0
2022-02-05,Bielefeld,M'gladbach,1,1,D,1,1,D,,10,22,5,4,15,10,5,11,3,3,0,0
2022-02-05,FC Koln,Freiburg,1,0,H,1,0,H,,14,18,3,2,14,16,8,8,2,2,0,0
2022-02-05,Mainz,Hoffenheim,2,0,H,0,0,D,,9,12,4,2,12,13,5,3,0,2,0,0
2022-02-05,Stuttgart,Ein Frankfurt,2,3,A,1,1,D,,15,15,6,6,7,12,3,14,0,0,0,0
2022-02-05,Bayern Munich,RB Leipzig,3,2,H,2,1,H,,25,13,8,7,11,12,2,0,1,3,0,0
